i_type,date,p_type,details,age,birthmonth,sex,pk,longitude,latitude
Pothole,2015-02-25T08:45:00,hazard,I witnessed a cyclist almost fall when wheel got caught in a pothole while trying to merge into left lane (right lane forced to turn right onto Richmond). Rider swerved into traffic as a result.,,,,718,-123.3306849,48.46047922
Other,2015-02-18T17:50:00,hazard,low branches/overgrown/poor visibility,1978,8,M,708,-123.3960074,48.48793446
Speed limits,2015-02-23T08:00:00,hazard,,,,,728,-123.3096457,48.45705694
Speed limits,2015-02-23T08:15:00,hazard,,,,,729,-123.314141,48.46040807
Other,2015-02-25T17:00:00,hazard,"Road too narrow for biking, no biking lanes, traffic too fast",,,,731,-123.3617288,48.43552545
Other infrastructure,2015-02-25T17:00:00,hazard,Road so narrow and traffic so fast in this area between designated biking areas that I routinely bike on the sidewalk even in front of police.  I regularly see close calls with traffic for bikers who ride the road,,,,732,-123.3662242,48.43576747
Other infrastructure,2015-02-09T08:15:00,hazard,This is a biking route between four schools and is narrow with poor visibility and fast drivers during morning when kids commuting to school.  Multiple close calls with cars.  Needs traffic slowing infrastructure (speed bumps),,,,735,-123.3499002,48.4304535
Train track,2014-11-17T20:00:00,hazard,Bike skidded out when crossing wet train track causing me to bail on my side damaging my leg and the bike,,,,738,-123.387816,48.43046357
Driver behaviour,2015-02-26T07:00:00,hazard,"In the morning when traffic is backed up, some drivers will enter the right turn lane and pull close to the curb. This blocks the right driving lane and the right turning lane, also blocking cyclists from passing the stopped traffic on the right. Beware some drivers will do this while cyclist pass.",,,,741,-123.4559655,48.45976059
Driver behaviour,2014-11-20T07:00:00,hazard,"Driver turning right on to the Northbound Island Highway will sometimes sit in the bike lane waiting for a break in traffic to turn. Also will sometimes not see/ignore the cyclist coming down the hill and will turn slowly on to the road, cutting the cyclist off.",,,M,742,-123.4632021,48.45195154
Driver behaviour,2014-10-21T07:10:00,hazard,"Drivers will sometimes cut into the bike lane to bypass stopped traffic to get into the Serious Coffee parking lot, or turn from the right driving cutting across the bike lane without checking for cyclist coming down the hill",,,M,743,-123.463347,48.45184481
Driver behaviour,2015-01-19T16:05:00,hazard,"There is a right turn out of the building complex here, during the afternoon when traffic is backed up, rarely a car turning left may nose out into the Northwest bound lane, sitting directly on top of the bike lane. There is little notice for a cyclist coming down the hill.",,,M,744,-123.4395289,48.45504686
Train track,2015-02-26T19:30:00,hazard,"Esquimalt Rd near William St.  My front tire caught in the track and sent me face first into the bikelane/road.  I broke my 2 front teeth, and required stitches on my chin, and have some soreness on forehead and back of head/neck.",1953,8,F,746,-123.387993,48.43046773
Speed limits,2015-02-24T16:50:00,hazard,,,,,727,-123.3024842,48.45399733
Road surface,2015-03-01T09:50:00,hazard,"Uneven surface, could easily fall into traffic",1993,11,M,771,-123.3326697,48.46705987
Road surface,2015-03-08T08:25:00,hazard,Gravel patch in intersection ,1978,8,M,778,-123.3991456,48.48084091
Driver behaviour,2015-03-10T16:20:00,hazard,"This is a 1 way road where drivers go 1 way and alongside it there's a bike lane going the other way. Using it never fails to get shouts from drivers and confused, angry honking at the top of the hill when you stop to let drivers pass who don't expect you to be coming up the wrong way & slam on brak",,,,786,-123.3985823,48.45322528
Poor signage,2015-03-04T08:10:00,hazard,Confusing 3 way stop that is frequently used as a 4 way stop. Motorists don't realize that we're stopped and waiting to go and cut left...,,,,787,-123.3949399,48.45549158
Other infrastructure,2015-03-01T17:30:00,hazard,"Not so much a hazard as an annoyance. The traffic light isn't triggered by the weight of a bike so if you're hoping to cross tillicum from this exit, hope that a car comes along behind you to trigger the light...",,,,788,-123.3940762,48.4559185
Cyclist behaviour,2015-03-05T17:35:00,hazard,"""Hmmm I'm coming off a bridge really fast, I wanna make a left around a corner with poor visibility at rush hour, so clearly I need to overtake other people who are slowing down to turn left and create more chaos! Perfect!""",,,,789,-123.3779669,48.45640946
Poor signage,2015-02-04T17:40:00,hazard,There's a big green box on the road so cyclists can cross the bridge & take lane - great during daylight and if the driver behind you bothers to look or has a brain. Not so helpful 6:30 at night in the rain w/ screaming motorist.,,,,790,-123.3699417,48.4277874
Pedestrian behaviour,2015-03-25T09:00:00,hazard,Pedestrians have no place to go from the campus trail network. A cross walk is needed here. Many pedestrians walk along the bike lane or cross into bikes / traffic. ,1985,4,M,810,-123.3148223,48.45963968
Train track,2015-03-15T09:25:00,hazard,"Slowed down going over railway tracks, rear tire slid on rail and bike shot out to right, both feet on ground to control, did not fall off bike.",1962,10,M,846,-123.3879769,48.43052109
Road surface,2015-03-15T09:50:00,hazard,"Riding over Johnson St. Bridge deck, raining very difficult to ride as bike was sliding on deck, had to slow down to a crawl disrupting traffic.",1962,10,M,847,-123.372497,48.42802234
Poor visibility,2015-04-01T15:00:00,hazard,Poor visibility attempting to cross onto bike trail.  Awkward vertical and horizontal alignment of the roadway for drivers coming westbound.  Difficult for them to see pedestrians and cyclists.,1985,9,M,848,-123.3940548,48.47361478
Other infrastructure,2015-03-19T09:50:00,hazard,Ran into the centre bollard.,,,,856,-123.3807349,48.45613552
Road surface,2015-04-14T08:15:00,hazard,"Harbour Road is in desperate need of street sweeping - the entire stretch is covered in sand, likely from winter sanding and from one of the industrial properties. Once dry, the thick sand causes a skidding hazard. Some cyclists avoid the sand by riding in the car lane.",,,,860,-123.3755958,48.42980567
Poor visibility,2015-04-15T08:15:00,hazard,"Terribly-designed and very busy junction with poor visibility. Cyclists going down the overpass must watch for others merging from 3 directions, while travelling down a steep off ramp, and sometimes while being overtaken by racing bikes. This junction needs a serious re-work.",,,,862,-123.3778971,48.45629917
Driver behaviour,2015-04-14T17:15:00,hazard,"Near-misses at north crosswalk every week. Many drivers travelling on McKenz to the hwy, do not  look for cyclists crossing. If they do stop for a cyclist, they risk being rear-ended by the driver behind. This entire intersection needs to be replaced with underpasses for all cyclists and peds.",1972,9,F,863,-123.4047568,48.45991004
Speed limits,2015-04-14T05:15:00,hazard,Turning left from Admirals into left-turn lane for bikes onto Colquitz is unsafe. Cars are at high speed coming from hwy and down a hill. I often have to stop dead at the side of the road to wait to be able to get into the turn lane. This lane just doesn’t work and gives false security to riders.,1972,9,F,864,-123.4085011,48.45858312
Road surface,2015-04-06T13:30:00,hazard,"Uneven pavement,  crown shape with no shoulder, narrow lane, slippery surface on sunny day, lots of gravel and fast, close-passing cars. I spun out and went to ER (on record). Bike bashed, elbow broken.",1972,3,F,869,-123.4180069,48.55388717
Driver behaviour,2015-01-08T07:15:00,hazard,I have had multiple run-ins with the same driver who pulls out of his inset driveway and into the bike lane before checking if it is clear.  Twice I have to take evasive actions.  His driveway is also hidden by the curve.  This is an accident waiting to happen.,1975,3,M,872,-123.3994246,48.61154753
Driver behaviour,2015-04-15T16:05:00,hazard,Westbound Esquimalt Rd motorist displaying agressive behaviour at westbound Esquimalt Rd cyclist merging from bike lane into vehicle lane to enter left hand turn lane to turn left onto Dunsmuir heading southbound,1981,3,M,873,-123.3942586,48.43172776
Poor visibility,2015-04-17T15:00:00,hazard,Hedge lining the cycling/pedestrian walkway are thick and high and extend all the way to the sidewalk preventing pedestrians and cyclists from seeing people and cars approaching from the left.  This is at a school with lots of young kids and lots of motor vehicle traffic at peak times.,,,,878,-123.3185828,48.47418025
Poor visibility,2015-04-17T14:30:00,hazard,High thick hedge prevents cyclists and pedestrians from seeing approaching traffic from the left as they enter the roadway.,,,,879,-123.3335495,48.48055999
Driver behaviour,2015-04-13T08:00:00,hazard,drivers OFTEN enter bike lane at top of hill (Finlayson) heading West,,,,883,-123.3466816,48.4482903
Driver behaviour,2015-04-20T12:55:00,hazard,Motorcycle using the bike lane to circumvent traffic. ,,,,890,-123.4079915,48.45862581
Other infrastructure,2015-04-28T11:55:00,hazard,This corner is a nightmare to bikers and drivers. The NW corner turning from Fort to Pandora is a problem. The telephone pole and lack of curb allow no room for bikers and traffic. Cars often turn right onto Pandora and bikes continuing along Fort are at conflict. I have had many close calls here.  ,1985,1,M,904,-123.336913,48.42658423
Driver behaviour,2015-05-01T20:00:00,hazard,"I was stopped at the side of the road taking a picture, a motorist pulled out of  a nearby driveway, honked, gave me the finger, and sped off.",1987,9,M,910,-123.3203101,48.40890717
Other infrastructure,2015-06-13T09:30:00,hazard,Ballard placement too tight difficult to navigate through.,,,,1150,-123.3493918,48.43354407
Driver behaviour,2015-07-21T17:05:00,hazard,Cars on Fort St cutting across bike lane to turn right on Cook - this happened on July 21 but is a common occurrence. Often the car cuts across the bike lane suddenly forcing me to slam on the brakes or weave out into the lane to avoid.,1980,8,F,1388,-123.3543044,48.42341955
Poor visibility,2015-11-03T08:00:00,hazard,Blind corner if you are a cyclist riding north (downhill so often at a fast speed): cars turning left onto Chambers from Queens don't have a stop sign and don't always think to look for bikes. Fortunately it's a low-traffic corner but it still scares me every time! Stop sign on Queens = easy fix?,1978,4,F,1930,-123.3494067,48.43336148
Road surface,2015-11-06T13:55:00,hazard,Construction along Monterey with 5 pieces of the thick medal sheets to cover big hole left stacked on right side of road heading away from oak bay avenue. Cars and cyclist risk to crash or serious damage as well as a series of shoddy patches of the medal sheets of about six more mixed with patches ,1977,3,F,1953,-123.3140659,48.42769129
Other infrastructure,2015-11-06T11:55:00,hazard,"Construction  Metal sheets about 200cm x 200cm and 10 cm thick stacked 5 pieces high.A series of medal sheets sloppily covering holes of four along the road.These are slippery and if someone hits the stack with a small car or bike serious damage will result ",1962,1,M,1954,-123.3140552,48.42669102
Curb,2015-11-11T08:00:00,hazard,Going south on Sinclair the bike lane disappears without warning. University bound bicycles can ride onto the sidewalk and merge with pedestrian traffic but there are no signs to indicate that going up on the sidewalk will prevent riders from continuing south on Sinclair.,1959,1,M,1967,-123.3078164,48.46711323
Other infrastructure,2015-09-01T16:55:00,hazard,The bike lane on Bay towards Shelbourne ends abruptly. Parked cars and tight lanes with heavy traffic ahead. ,,,,1990,-123.3493263,48.43483142
Island,2015-09-18T17:00:00,hazard,"Vehicles sometimes unexpectedly make an illegal manoeuvre to go straight down Vancouver, only bicycles are the exception to the no thru given the curb and create a hazard to cyclist when they make this move in the tight space provided for bicycles to go straight. ",,,,1991,-123.3557367,48.43059587
Road surface,2015-11-20T08:00:00,hazard,"Bicycle detection signal is too far in the middle of the road, does not work well for those that want to turn left from Balmoral onto Quadra and not hold up traffic going right onto Quadra. ",,,,1992,-123.3588052,48.42900122
Speed limits,2015-10-13T17:20:00,hazard,"Car after car won't stop at the cross walk to walk a bike across to a safer street to bike on. They are going to fast and don't bother to slow down, signalization or stop signs are needed. ",,,,1993,-123.3423042,48.43439009
Traffic flow,2015-08-12T10:10:00,hazard,Shelbourne northward bike lane ends at Bay. ,,,,1994,-123.3335924,48.43371384
Other infrastructure,2015-11-25T08:00:00,hazard,Construction closing a small section of the bike lane so have to ride around it (sign doesn't say the bike lane is closed just that cyclists should ride single file). Looks temporary.,1978,4,F,2018,-123.3286679,48.43014026
Poor signage,2015-11-25T08:00:00,hazard,"Simcoe (the cross street) has a stop sign, and Government St (the main street) does not.  However the road surface is raised along the Simcoe axis (as if Simcoe literally crosses on top of Government), so the Simcoe drivers seem to expect that Government traffic will stop. MANY near misses.",1960,5,M,2019,-123.3703977,48.4136537
Road surface,2015-12-05T23:05:00,hazard,There is a deep catch basin on the road very close to bike lane.  Be careful,,,,2053,-123.4398159,48.45524783
Curb,2015-12-04T08:00:00,hazard,The bike lane on Yates Street end here and leads you into a curb that is sticking out and forces you into traffic while in the intersection. I have a close call here almost every week. I bike to work everyday and this is on my route.,1990,6,M,2055,-123.3621526,48.42604315
Driver behaviour,2015-12-08T16:30:00,hazard,Drivers use the buffered bike lane as a turning lane here.,1982,8,M,2063,-123.3498251,48.44784908
Curb,2015-12-08T16:30:00,hazard,New curb extension and lack of protection of bike lane means drivers use bike lane to turn right onto Richmond from Cedar Hill X Rd here.,1982,8,M,2064,-123.330363,48.46039028
Pothole,2015-12-07T13:25:00,hazard,,1987,1,F,2065,-123.3605164,48.47198236
Other infrastructure,2015-12-15T08:05:00,hazard,"Heading north on Quadra, when a cyclist is turning left onto the Lochside Trail, there is a high risk of collision with drivers turning right onto Quadra from Greenridge Crescent. Those drivers are looking left for the cars coming down Quadra, and they are not looking right to see cyclists.",,,,2079,-123.3632469,48.46802733
Icy/Snowy,2015-12-22T07:25:00,hazard,Witnessed a cyclist fall when turning corner from Goose onto Switch Bridge,1965,10,M,2087,-123.3779293,48.45640946
Broken glass,2016-04-27T11:30:00,hazard,,,,,2523,-123.3259673,48.44785804
Bike lane disappears,2016-01-16T22:55:00,hazard,Bike lane disappears in front of apartments forcing drivers into door zone of parked cars or into traffic.,,,,2166,-123.3947039,48.59531503
Poor signage,2016-01-16T23:00:00,hazard,Many cyclists travelling south on Lochside Trail to Victoria get confused and wind up on the pedestrian overpass. The sign directing them to the trail is not immediately obvious.,,,,2167,-123.4168482,48.66348057
Other infrastructure,2016-01-16T23:05:00,hazard,Low clearance of bike path passing underneath pedestrian overpass on tight corner. Watch your head.,,,,2168,-123.4257424,48.67643954
Road surface,2016-01-26T12:20:00,hazard,"On Shelbourne, just south of McKenzie, in the area between the right hand turning lane and the lane going straight. Pavement is buckled and very uneven.",,,,2203,-123.3327073,48.46860791
Sensor does not detect bikes,2016-02-03T15:40:00,hazard,"If a bike gets to the left turn lane first (heading north onto Tillicum), it cannot trigger the left turn light. Even the cars sitting behind it get stuck. Come on Saanich, fix this intersection!",,,,2224,-123.4004867,48.44779037
Dangerous intersection,2015-03-20T16:55:00,hazard,One of the worst places intersections for cyclists in this area and yet one of the most important for students of all ages comuting to school need to feel safe. Going uphill on Lansdowne here is a nightmare! Especially with side winds and any kind of rain.,1995,5,F,2256,-123.3262467,48.4461933
Driver behaviour,2016-03-19T14:00:00,hazard,"Driver of car failed toStop at 4 way stop.",1975,11,F,2395,-123.3314949,48.41757913
Pothole,2016-03-24T18:50:00,hazard,"Small pothole right in the line of where you bike, big enough to cause damage to a wheel",1982,8,M,2396,-123.3427083,48.41649856
Bike lane disappears,2016-03-26T10:35:00,hazard,"There is no bike lane, which means I have to cut onto the sidewalk and get in the way of people walking. If I stay on the road the cars are too close and it is dangerous.",2002,9,F,2399,-123.4253883,48.45036825
Bike lane disappears,2016-04-11T10:00:00,hazard,The bike lane eastbound does not exist for a block or so.,1971,6,F,2458,-123.439014,48.4544634
Sensor does not detect bikes,2016-04-11T09:00:00,hazard,If you are making a left turn from Gorge Rd. onto Admirals there is no sensor so you are stuck waiting until a car shows up.,1971,6,F,2459,-123.4205925,48.453485
Dangerous intersection,2016-04-11T10:00:00,hazard,It is almost impossible for an eastbound Old Island Highway cyclist to cut across 2 lanes of traffic to make the left turn onto Admirals to head north. The vehicles are travelling down hill toward the intersection. Even at 10 am there was too much traffic and it was moving too fast.,1971,6,F,2460,-123.424868,48.45110476
Bike lane disappears,2016-04-13T08:10:00,hazard,,,,,2470,-123.4587818,48.4566407
Curb,2016-04-12T16:30:00,hazard,Very steep gradient from the road onto the Thrifty Foods parking lot driveway makes the turn dangerous. Go slowly. I was hoping to avoid the road section  between the Shelbourne and Cedar Hill x roads by pulling into the thrifties parking and ended up needing bike repairs and bruised. ,1994,2,F,2465,-123.3314252,48.46868178
Other infrastructure,2016-04-12T08:00:00,hazard,No bike lane. Drivers often hug the curb on the morning drive in and do not leave room for cyclists on the right. It's a chronic problem...not sure why they don't put in a bike lane since there is space for it.,1976,9,M,2471,-123.4793115,48.43936556
Curb,2016-04-12T08:00:00,hazard,The curb pinches in a bit here heading up the road towards Colwood Corners. Cars tend to hug the curb here.,1976,9,M,2472,-123.4711254,48.44089939
Dangerous vehicle left turn,2016-04-20T17:25:00,hazard,Vehicles turning left off Cadboro Bay road frequently misjudge speed of cyclists descending hill passing through intersection,1963,1,M,2494,-123.3004618,48.45634542
Pothole,2016-04-20T07:30:00,hazard,Two large potholes on Annabern Crescent ,1963,1,M,2495,-123.2913852,48.46733019
Blind corner,2016-03-31T08:05:00,hazard,"Hedge on west side of Dawe at corner of Arbutus restricts view onto Arbutus.  Hedge does not appear to meet Transportation Act, PROVINCIAL PUBLIC UNDERTAKINGS",1963,1,M,2496,-123.2871044,48.46172071
Blind corner,2016-04-06T15:00:00,hazard,The driver was heading west from Goodwin onto Windsor.  I was cycling south on Beach Drive toward the Oak Bay Marina.  I slowed down and watched the driver to see if he would notice me.   He didn't until I was getting fairly close.  Then the driver slammed on his breaks. ,1959,5,F,2595,-123.3055848,48.42412797
Dangerous intersection,2016-04-16T10:10:00,hazard,"Bikes coming across from the lights and the new bicycle pathway that goes to Esquimalt are entering onto the goose trail without stopping. Many regular goose commuters know this, others beware. I have seen many close calls. Just a matter of time.",,,,2643,-123.4545386,48.46107685
Icy/Snowy,2014-11-12T08:00:00,hazard,Not only is this a busy corner but it can have black ice. Recommend all to slow down considerable and lay off the front brakes especially when in the apex of the curve. Break before you turn.,,,,2644,-123.3779347,48.45639878
Blind corner,2016-05-19T15:00:00,hazard,low visibility for a left turn onto Quadra from Academy Close due to tree-lined street and parked cars. Excessive car speed on Quadra between Humboldt and Southgate,1961,3,M,2731,-123.3621955,48.4178871
Other infrastructure,2015-11-07T11:50:00,hazard,"Double speed bumps",1963,12,M,2757,-123.4200668,48.52007235
Other,2016-05-25T11:45:00,hazard,The bike lane stops at Cook and Pandora put cyclist into busy oncoming traffic.,,,,2762,-123.3531189,48.42720006
Narrow road,2016-05-25T12:00:00,hazard,Road is hilly and twisty. Pavement is terrible. Drivers drive way too fast (often > 60km/h.) Extremely dangerous for cyclists.,1975,7,M,2774,-123.307516,48.4668927
Poor signage,2016-04-30T13:30:00,hazard,Poorly designed merge lane. Been cut off countless times by vehicles.,1988,3,M,2795,-123.3729297,48.42788173
Curb,2016-06-03T08:20:00,hazard,BEWARE: curb running parallel to bike lane in centre of bike lane--invisible at night.  (Why? Ill-conceived attempt at traffic calming.),1952,10,F,2863,-123.4916496,48.44827607
Dangerous vehicle right turn,2016-06-03T08:20:00,hazard,DEATH TRAP:  There is no underpass here so cyclists going toward Goldstream are supposed to cross 2 lanes of highway traffic going at fighter-jet speeds.,1952,10,F,2864,-123.4956408,48.45764038
Train track,2016-06-03T08:20:00,hazard,"ROAD RAGE:  Drivers don't ""get it"" that you have to cross train tracks at 90 degrees or risk having your wheel trapped in the track channel and being thrown to the ground.  Bike lanes need to be painted with a zig-zag so it's obvious what we're doing.",1952,10,F,2866,-123.4954691,48.44734381
Train track,2016-06-02T08:20:00,hazard,Cyclists proceeding straight through on Goldstream are forced to look like they are turning right on Veteran's Memorial Parkway  in order to cross the train tracks safely at 90 degrees.  I believe it's much safer here to mount the sidewalk and use the crosswalk.,1952,10,F,2867,-123.4953189,48.44740786
Curb,2016-06-02T08:25:00,hazard,"20' long curb in the very centre of the bike lane running parallel to the road, INVISIBLE AT NIGHT.  Somebody's idiotic idea of traffic calming.  You are supposed to pull out in front of speeding cars and teach them manners.",1952,10,F,2868,-123.4882164,48.44901617
Bike lane disappears,2016-06-02T09:05:00,hazard,"Road splits into two lanes to accommodate more cars, bike lane simply vanishes.  I could hardly blame you if you pedalled down the sidewalk through the bus shelter.",1952,10,F,2870,-123.4245086,48.45103716
Pothole,2016-06-02T15:00:00,hazard,"Southbound on Cedar Hill Road (just south of CedarHillX Rd), there is a short bike lane that ends. The shoulder goes from curb to soft shoulder and gravel, with two quite large potholes.  Bike riders have to stay on roadway to avoid, right where vehicle lane curves slightly,  and some cars turn left",1962,5,M,2876,-123.3380127,48.46112665
Traffic flow,2015-06-08T17:30:00,hazard,How exactly do the road designers expect cyclists who are coming south down Helmcken to get up on the trail. There's really no elegant way of doing it .  I always have to stop my bike and wait for a break in cars even tho there's a roundabout right there,1967,6,F,2912,-123.4367394,48.45784672
Other infrastructure,2016-06-08T17:20:00,hazard,"This is a really awkward transition for cyclists traveling west along Island highway to get up onto the rail trail above. It requires a 180 degree right turn, which was obviously designed by a non-cyclist.",1967,6,F,2918,-123.4317505,48.45277343
Other infrastructure,2016-06-10T17:45:00,hazard,Trails narrows to barely a bikes-width wide between two trees.,1982,8,M,2925,-123.3222198,48.44624074
Other infrastructure,2016-06-10T17:45:00,hazard,"Turning the corner bikes & people walking are squeezed between a light standard and an electrical box. Given this intersection was just rebuilt, this is nuts and terrible planning.",1982,8,M,2926,-123.3219463,48.44621939
Icy/Snowy,2015-12-01T07:25:00,hazard,"My bike probably has 50k miles on it, and I have never seen anything like this spot for black ice.  Always wet in the winter and the first place to freeze, with a sharp curve and 3 metal bollards to crash into.  The CRD should take out the pavement here and go back to a gravel surface.",1952,10,F,2934,-123.466233,48.45761192
Road surface,2016-06-08T08:00:00,hazard,The road condition right in front of the bus stop (in front of the Esquimalt Plaza) has a few substantial lumps that can cause you to loose control.,1983,3,M,2936,-123.4101233,48.42994378
Other infrastructure,2015-05-20T10:00:00,hazard,Where you cross the street on a bike it's a 90 degree angle to get back on to the trail. It was such a sharp turn that it's difficult to maneuver..,1997,12,F,2983,-123.4007442,48.46751871
Other infrastructure,2016-07-04T17:45:00,hazard,A metal receptacle in the ground in the middle of the trail that used to contain a pole.,,,,3108,-123.3967102,48.45787873
Broken glass,2016-07-09T14:15:00,hazard,Broken glass in eastbound bike lane between Heath and Parkview along Gorge Rd.,1971,6,F,3131,-123.4079218,48.44952142
Curb,2016-07-11T17:00:00,hazard,"From the trail there appears to be a washroom by the park. Crossing over the parking lot the is a gravel path leading off the parking area to the building. There is a 2"" curb to watch out from I took a tumble which resulted in injuries to hands and right knee.",1949,2,M,3153,-123.3765507,48.53476611
Curb,2016-07-11T17:35:00,hazard,"Heading west on Beacon Ave. to proceed on the Lochside  Trail north at the crosswalk the curb height is reduced but not enough it is still about 2"" high enough to catch your wheel causing a fall onto the sidewalk before the trail. I hurt myself on the left hand, left knee, bent the derailleur hanger",1949,2,M,3155,-123.4068476,48.64905901
Construction,2016-07-20T10:40:00,hazard,Construction of new house means that contractors routinely park in the eastbound bike lane going up the hill. It's really difficult to safely maneuver into the car lane as it's a very steep section. There must be a better place for these guys to park!,,,,3255,-123.3591056,48.47063797
Gravel rocks or debris,2016-07-20T10:30:00,hazard,Sand in the eastbound bike lane leading up to the intersection. Could be dangerous if you had to brake quickly.,,,,3256,-123.336854,48.46856797
Construction,2016-07-20T10:40:00,hazard,Why does paving on Blenkinsop warrant blocking a bike lane on McKenzie with metal construction signs? One of these was knocked down and was dangerous as it was hard to see due to the shadows. ,,,,3257,-123.3484411,48.47203926
Vehicle in bike lane,2016-08-19T11:00:00,hazard,Very large truck parked in the bike lane and blocking part of the main traffic lane.,1948,9,F,3418,-123.3608866,48.45761192
Curb,2016-08-19T19:00:00,hazard,The curb cut here has a telephone pole directly in the middle of it,1982,8,M,3419,-123.3487862,48.41524349
Dangerous intersection,2016-08-10T17:00:00,hazard,"Caution to cyclists on Haultain Street as they approach Cedar Hill Road. Vehicles tend to pass cyclists in the intersection and due to the dip in the road, they don't always see approaching cyclists and vehicles coming from the other direction. ",1975,10,M,3571,-123.3468693,48.43623015
Road surface,2016-09-12T17:25:00,hazard,"I hate this section of Admirals going north. You're coming downhill, on a curve in a poor excuse for a bike lane that is not maintained by the street sweeper, it's full of junk rocks. I'm surprised no one has wiped out here and landed under a vehicle!",1976,6,F,3697,-123.4283924,48.44259331
Other infrastructure,2016-09-16T17:30:00,hazard,,,,,3713,-123.3532771,48.42708259
Other infrastructure,2016-09-16T17:30:00,hazard,"Drivers frequently use the right hand lane to speed past vehicles in the left hand lane.They often don't give much / any space as they go by.",1991,2,M,3714,-123.3532758,48.42708348
Road surface,2016-08-24T15:30:00,hazard,"Flew over the handle bars heading north on a poorly maintained shoulder. Stitches, broken front teeth and bad road rash. Hit a ""pot hole"" or loose rock/gravel/ sand. Sure would be nice if this small section was finally upgraded/ added to the E&N path",,,,3769,-123.4283388,48.44266804
Dangerous intersection,2016-10-05T07:05:00,hazard,"If you turn right here, coming out of E&N rail trail, there is about 10 inches of space to merge with traffic, asuming they are in their lane.Better off riding the dirt trail in the boulevard.",1982,9,M,3878,-123.4266197,48.44654298
Gravel rocks or debris,2016-10-05T17:00:00,hazard,Gravel in bike lane.,,,,3886,-123.415601,48.48541543
Curb,2016-10-07T06:15:00,hazard,When proceeding on shoulder to crosswalk to safely cross to Galloping Goose Trail there is a curb that starts about here. The sidewalk is tight with power poles should you get squeezed on to it by cars.,,,,3893,-123.525188,48.43326004
Pothole,2016-10-06T15:10:00,hazard,"We were told that it is for drainage and there fore can not be fixed. This section contrary to popular belief is NOT a bike lane. like the other comment this can be a fast decent. If you can take the lane, or use caution and your breaks. This hole has eaten many bikes even broken a femur. ",,,,3894,-123.4282959,48.4422588
Road surface,2016-10-04T06:20:00,hazard,"This is a long decent that a cycle can easily coast at the posted speed limit. The section off roadway was resurfaced, poorly in the bike lane. There are a couple good jarring sections. I move out to the road lane here, or slowly descend.",,,,3895,-123.464098,48.45058173
Other,2016-01-06T12:15:00,hazard,"Collision with Bollard in the middle of the path. Bent frame of bike, sprained ankle.",1957,7,M,3913,-123.413714,48.43747135
Other,2016-09-21T07:55:00,hazard,Tree Roots have lifted the surface on the northbound bike-lane and the sizable bumps are not easily visible in the darker parts of the day.  Specifically the area 10-50 metres past the pedestrian overpass.  I Have witnessed a gentleman crash his bike here because of this.,,,,3938,-123.4246159,48.67695669
Gravel rocks or debris,2016-10-18T16:05:00,hazard,Gravel and mud on the bike lane in this section. It appears to be a cronic problem. I called Saanich to complain about 3 times now but it doesn't appear to be a  priority. The street sweeper went by in the last while but didn't clean the bike lane very well.,,,,3941,-123.4157628,48.48611458
Wet leaves,2016-10-20T05:30:00,hazard,Lake-sized puddle at the base of the hill in the right lane of eastbound Gorge Rd. W.,,,,3946,-123.3933663,48.44557162
Dangerous intersection,2016-10-24T13:00:00,hazard,Cars normally try to squeeze past bikes within the lane if proceeding north on Government. ,,,,3984,-123.3682196,48.42278229
Wet leaves,2016-11-03T07:40:00,hazard,Be careful on the S bend.  The leaves are slippery.,,,,4188,-123.3814806,48.4369028
