,i_type,incident_with,date,p_type,details,incident_effect,injury,trip_purpose,regular_cyclist,helemt,intoxicated,road_conditions,sightlines,card_on_roadside,riding_on,bike_lights,terrain,direction,turning,age,birthmonth,sex,pk,longitude,latitude,datetime,seconds
107,Near collision with moving object or vehicle,"Vehicle, side",2015-09-09T16:15:00,nearmiss,bike lane painting at finlayson and douglas intersection does not exist so cars dont respect bike lane. almost hit LOTS here,,No injury,Commute,,,,,,,,,,,Heading straight,,,,1621,-123.3706498,48.44503089,2015-09-09 16:15:00,1441836900
108,Near collision with moving object or vehicle,"Vehicle, side",2015-09-21T17:20:00,nearmiss,Driver honked at me because I was taking the lane and proceeded to speed up and pass very closely (less than 2 ft away).,,No injury,,,,,,,Y,,,,,,,,,1673,-123.3538753,48.40719432,2015-09-21 17:20:00,1442877600
109,Near collision with moving object or vehicle,"Vehicle, angle",2015-10-22T17:10:00,nearmiss,Idiot truck turned right without signalling or checking to see if there was a bike in the bike lane,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Downhill,E,Heading straight,1981.0,5.0,M,1833,-123.3708,48.44518746,2015-10-22 17:10:00,1445555400
110,Near collision with moving object or vehicle,"Vehicle, side",2015-02-16T13:35:00,nearmiss,,,No injury,Social reason,,,,,,,,,,,,,,,420,-123.3627748,48.42250819,2015-02-16 13:35:00,1424118900
111,Near collision with stationary object or vehicle,"Vehicle, rear end",2015-11-06T17:00:00,nearmiss,City and private buses (wilsons) park along Fort street and are often blocking most of the bike lane. I am constantly merging out into traffic to avoid them here. ,,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,Busy street bike lane,FB,Uphill,E,Heading straight,1986.0,1.0,M,1964,-123.35341389999999,48.42331275,2015-11-06 17:00:00,1446854400
112,Near collision with moving object or vehicle,"Vehicle, angle",2015-05-28T16:45:00,nearmiss,A vehicle in the southbound lane pulled out into the right turn lane as I was signalling and taking the lane. They misjudged my speed and I had to brake hard. Southbound drivers often race cyclists to cut ahead at the right turn lane. ,,No injury,Commute,,,,,,,,FB,,S,Turning right,,,,1044,-123.32245590000001,48.43226522,2015-05-28 16:45:00,1432853100
113,Near collision with moving object or vehicle,"Vehicle, angle",2015-06-09T08:00:00,nearmiss,"Couldn't specify ""Crosswalk"" as a location but I was exiting the Lochside Trail and merging onto McKenzie heading East. There's no bike lane along McKenzie on the west side so I used the crosswalk to cross over Borden but a car was turning left and would have hit me had I not stopped midway across. ",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Don't remember,NL,Flat,E,Heading straight,1978.0,4.0,F,1083,-123.36120840000001,48.47042813,2015-06-09 08:00:00,1433858400
114,Near collision with moving object or vehicle,"Vehicle, angle",2015-05-30T12:00:00,nearmiss,I was in the left hand turn lane. Light had just turned yellow. Luckily I was just making the go/no-go decision on the light when a truck in the middle lane suddenly swerved into my lane and took a left turn. I was able to break fast enough to not rear end it.,,No injury,Personal business,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,N,Turning left,1981.0,,M,1212,-123.35370900000001,48.42464415,2015-05-30 12:00:00,1433008800
115,Near collision with moving object or vehicle,"Vehicle, side",2015-07-15T15:45:00,nearmiss,"Travelling west on Haultain, turning left onto Scott St. Car was stationary at two-way stop on Scott St (stop signs on Scott, none on Haultain). Car moved out of stop sign onto Haultain as I was passing in front of it. Middle-aged male driver shouted that I should have stopped.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",NL,Flat,W,Turning left,1980.0,9.0,M,1353,-123.3349872,48.43611982,2015-07-15 15:45:00,1436996700
116,Near collision with moving object or vehicle,Another cyclist,2015-07-23T10:10:00,nearmiss,Went to pass a slower moving cyclist on their right. Other cyclist failed to shoulder check or signal that the were turning before cutting me off. Narrowly missed.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Mixed use trail,NL,Flat,E,Heading straight,1990.0,6.0,M,1403,-123.3203584,48.46349931,2015-07-23 10:10:00,1437667800
117,Near collision with moving object or vehicle,"Vehicle, side",2015-11-02T14:20:00,nearmiss,Cars were backed up (not moving) but the bike lane was clear so I was moving well heading west. A truck heading east decided to turn left through an opening in the line of cars. Apparently the driver didn't see me in the bike lane and I had to swerve to avoid getting taken out. Almost smooshed!,,No injury,Commute,Y,Y,N,Dry,View obstructed,N,Busy street bike lane,NL,Flat,W,Heading straight,1978.0,4.0,F,1927,-123.32874299999999,48.46868178,2015-11-02 14:20:00,1446499200
118,Near collision with moving object or vehicle,"Vehicle, side",2015-05-07T08:40:00,nearmiss,,,No injury,Personal business,,,,,,,,,,,,,,,1045,-123.3759928,48.44251146,2015-05-07 08:40:00,1431009600
119,Near collision with moving object or vehicle,"Vehicle, angle",2015-05-30T12:00:00,nearmiss,I was in the left hand turn lane. Light had just turned yellow. Luckily I was just making the go/no-go decision on the light when a truck in the middle lane suddenly swerved into my lane and took a left turn. I was able to break fast enough to not rear end it.,,No injury,Personal business,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,N,Turning left,1981.0,,M,1213,-123.35370900000001,48.42464415,2015-05-30 12:00:00,1433008800
120,Near collision with moving object or vehicle,"Vehicle, angle",2015-08-17T12:30:00,nearmiss,"I was southbound, 1 northbound vehicle was waiting to turn left - waiting for me and some pedestrians to clear the intersection.A second northbound vehicle came out and around the first to make the left turn, nearly hitting me and the pedestrians.  A cloud of marijuana smoke trailed from his car..",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",NL,Flat,S,Heading straight,1986.0,12.0,M,1549,-123.35651990000001,48.42542019,2015-08-17 12:30:00,1439836200
121,Near collision with moving object or vehicle,"Vehicle, side",2015-09-02T07:15:00,nearmiss,Driver stopped in the bicycle path instead of at the stop sign.  Almost took out two people on bicycles and proceeded to curse at the bicyclists.,,No injury,Commute,Y,Y,N,Dry,View obstructed,N,Cycle track,NL,Flat,E,Heading straight,1967.0,2.0,M,1603,-123.41370459999999,48.43756121,2015-09-02 07:15:00,1441199700
122,Near collision with moving object or vehicle,"Vehicle, side",2015-10-02T16:20:00,nearmiss,Attempting to cross the street at a marked pedestrian crossing when a vehicle ran a red light.,,No injury,Commute,Y,Y,N,Dry,,N,"Busy street, no bike facilities",FB,Flat,S,Heading straight,1956.0,3.0,M,1741,-123.36168590000001,48.46642674,2015-10-02 16:20:00,1443824400
123,Near collision with moving object or vehicle,"Vehicle, side",2015-10-29T09:20:00,nearmiss,Travelling north on shelbourne  when driver passed within inches of my handlebars.  No bike facilities here make this a common issue and this isn't the first time it's happened.  Vehicles rushed and narrow driving lanes.,,No injury,Commute,N,Y,N,Wet,No obstructions,N,"Busy street, no bike facilities",NL,Flat,N,Heading straight,1988.0,8.0,M,1904,-123.3330506,48.45349923,2015-10-29 09:20:00,1446132000
124,Near collision with moving object or vehicle,"Vehicle, side",2015-11-03T11:25:00,nearmiss,Vehicle passed close enough that I could touch it. Driver wasn't concerned when confronted.,,No injury,During work,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Flat,S,Heading straight,1982.0,8.0,M,1928,-123.35313319999999,48.42792148,2015-11-03 11:25:00,1446575100
125,Near collision with moving object or vehicle,"Vehicle, side",2015-05-14T08:30:00,nearmiss,Road rage incident: observed male driver of black Acura come within inches of hitting a cyclist where he should have allowed the bike to safely merge into traffic just before the bridge. This bridge entrance is dangerous enough!,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Uphill,E,Heading straight,1972.0,,F,936,-123.3731426,48.42791781,2015-05-14 08:30:00,1431613800
126,Near collision with moving object or vehicle,"Vehicle, angle",2014-09-16T17:30:00,nearmiss,Bad driver is bad at driving. Bad driver veered into bike lane and was close to hitting me. Bad driver should drive better.,,No injury,Commute,Y,Y,N,Dry,No obstructions,I don't know,Busy street bike lane,NL,Uphill,W,Heading straight,1990.0,6.0,M,3,-123.3476187,48.44804927,2014-09-16 17:30:00,1410910200
127,Near collision with moving object or vehicle,"Vehicle, side",2015-05-21T07:00:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,961,-123.40483190000002,48.45992783,2015-05-21 07:00:00,1432213200
128,Near collision with moving object or vehicle,"Vehicle, side",2015-05-27T16:10:00,nearmiss,Driver of a small car failed to yield right of way to me while I was in the traffic circle. Driver was surprised to see me almost in their driver window.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",NL,Flat,NW,Heading straight,1969.0,,M,1027,-123.3075857,48.46716658,2015-05-27 16:10:00,1432764600
129,Near collision with moving object or vehicle,"Vehicle, side",2015-06-01T09:00:00,nearmiss,I was making left turn onto Fairfield off Moss. A car driven by older women passed me on the left in the intersection while I was making a left turn. As I was making the turn I had my hand out indicating a left turn.,,No injury,Commute,Y,N,N,Dry,No obstructions,I don't know,"Busy street, no bike facilities",NL,Uphill,S,Turning left,1973.0,,F,1047,-123.34867279999999,48.41522943,2015-06-01 09:00:00,1433170800
130,Near collision with moving object or vehicle,"Vehicle, side",2014-08-07T18:30:00,nearmiss,Jerk van almost merged into me,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Downhill,W,Heading straight,1990.0,6.0,M,1,-123.32515259999998,48.4461705,2014-08-07 18:30:00,1407457800
131,Near collision with moving object or vehicle,"Vehicle, side",2014-09-03T10:25:00,nearmiss,Car turning right onto Blenkinsop nearly cut me off as I was travelling straight in bike lane.  Driver only stopped turning because I yelled. A large cube van behind the car may have obstructed both of our views.,,No injury,Social reason,,,,Dry,No obstructions,N,Busy street bike lane,NL,Flat,,,,,,2,-123.35102140000002,48.47201081,2014-09-03 10:25:00,1409761500
132,Near collision with moving object or vehicle,"Vehicle, side",2014-08-14T10:25:00,nearmiss,I had a near miss on Dean Ave at one of the roundabouts - probably around Carnarvon. It happened in August when the guy in his truck didn't yield and I almost smoked the side of his car but managed to brake in time and just about nicked his rear bumper. No contact occurred. It was daylight.,,No injury,Commute,Y,Y,N,Dry,No obstructions,I don't know,"Quiet street, no bike facilities",NL,Flat,N,Heading straight,1987.0,1.0,F,6,-123.324666,48.44034779,2014-08-14 10:25:00,1408033500
133,Near collision with stationary object or vehicle,Pedestrian,2013-12-10T17:30:00,nearmiss,Extremely bright light from oncoming cyclists blinded me. I nearly missed a collision with a pedestrian that I couldn't see because of the oncoming cyclist's light.,,No injury,Commute,Y,Y,N,Wet,Glare or reflection,N,Mixed use trail,FB,Flat,SW,Heading straight,1983.0,7.0,M,8,-123.3693838,48.46227209,2013-12-10 17:30:00,1386721800
134,Near collision with moving object or vehicle,"Vehicle, angle",2014-10-06T09:30:00,nearmiss,"I hate biking this section of road every day. It's one of the worst parts of my 4.3 km commute to work.  It's uphill and just after an intersection, the road has a big dip for a storm grate and you don't want to bike through it! Cars come so close and fast to get through the light.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Uphill,E,Heading straight,1979.0,12.0,F,9,-123.3259535,48.44622651,2014-10-06 09:30:00,1412609400
135,Near collision with moving object or vehicle,"Vehicle, angle",2014-10-04T21:45:00,nearmiss,"clearly visible, bright helmet, rear light, and under street lamp at Market On Yates",,No injury,Social reason,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",B,Flat,N,Heading straight,1991.0,3.0,M,10,-123.35933090000002,48.42532052,2014-10-04 21:45:00,1412480700
136,Near collision with moving object or vehicle,"Vehicle, rear end",2014-09-29T08:55:00,nearmiss,"This is a narrowing of the road where a bike lane abruptly ends, and cars go by so close and so quickly. ",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,E,Heading straight,1979.0,,F,11,-123.3324981,48.44601301,2014-09-29 08:55:00,1412002500
137,Near collision with moving object or vehicle,"Vehicle, side",2014-09-23T10:00:00,nearmiss,"I was trying to change lanes from the right-hand side of the right lane to the centre of the left (turning) lane, to turn off Landsdowne Road and onto (north) on Foul Bay Road.  Cars won't yield and it's hard to check blindspot without swerving a little, such a narrow stretch of road.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,E,Turning left,1979.0,,F,12,-123.32294399999999,48.44614467,2014-09-23 10:00:00,1411488000
138,Near collision with moving object or vehicle,"Vehicle, side",2013-02-11T07:30:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,13,-123.3221769,48.43214064,2013-02-11 07:30:00,1360593000
139,Near collision with moving object or vehicle,"Vehicle, side",2013-07-11T16:25:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,14,-123.32190870000001,48.44283174,2013-07-11 16:25:00,1373581500
140,Near collision with moving object or vehicle,"Vehicle, angle",2014-10-03T08:10:00,nearmiss,Traffic congestion on Tyee rd lead to people turning off onto Wilson st. Was sideswiped by a vehicle turning right onto Wilson but was able to avoid a collision,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,W,Heading straight,1978.0,,M,16,-123.37875509999999,48.43124826,2014-10-03 08:10:00,1412345400
141,Near collision with moving object or vehicle,"Vehicle, side",2014-10-02T15:45:00,nearmiss,Heading straight down road at speed vehicle passes and turns in front,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",B,Downhill,W,Heading straight,,,,17,-123.32382920000002,48.46360247,2014-10-02 15:45:00,1412286300
142,Near collision with moving object or vehicle,"Vehicle, side",2014-10-01T17:30:00,nearmiss,,,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,E,Heading straight,1987.0,8.0,M,18,-123.3313072,48.41127159,2014-10-01 17:30:00,1412206200
143,Near collision with moving object or vehicle,"Vehicle, angle",2013-11-30T11:05:00,nearmiss,"Going straight through an intersection, person in oncoming traffic turning left started turning and I had to stop rapidly to avoid collision.",,No injury,Social reason,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,S,Heading straight,1991.0,2.0,F,20,-123.35225520000002,48.43497023,2013-11-30 11:05:00,1385834700
144,Near collision with moving object or vehicle,"Vehicle, side",2014-10-02T08:30:00,nearmiss,I was going stright in the bike lane and a car passed me just to turn right in front of me. I had to swerve so as not to drive into the side of her car. Motorists are not paying attention to the fact that bikes can go straight in that bike lane. There needs to be signage.,,No injury,Exercise or recreation,,,,Dry,No obstructions,N,Busy street bike lane,NL,Uphill,E,Heading straight,,,,21,-123.3186793,48.4685075,2014-10-02 08:30:00,1412260200
145,Near collision with moving object or vehicle,"Vehicle, side",2014-06-14T15:25:00,nearmiss,A southbound car started from a stop at the red light at the pedestrian crossing and accelerated through the light.,,No injury,Exercise or recreation,,,,,,,,,,,,,,,22,-123.3629572,48.46803445,2014-06-14 15:25:00,1402781100
146,Near collision with moving object or vehicle,"Vehicle, head on",2014-07-24T10:35:00,nearmiss,Tractor trailer threatened to run me over because he was unhappy that he had to wait for me to cross on the pedestrian/bicycle crossing.,,No injury,Commute,Y,Y,N,,,,,,,,,1960.0,,M,23,-123.40491770000001,48.45991004,2014-07-24 10:35:00,1406219700
147,Near collision with moving object or vehicle,Another cyclist,2013-05-14T07:50:00,nearmiss,Coming into the intersection of the two trails another cyclist was proceeding north on the paved trail at a very high speed and swerved just in time and missed me and then continued north across the trestle bridge.  Cyclists need to proceed slowly when approaching from the north.,,No injury,Commute,,,,Dry,View obstructed,N,Mixed use trail,NL,Downhill,E,Heading straight,,,,24,-123.38331699999999,48.43760036,2013-05-14 07:50:00,1368539400
148,Near collision with moving object or vehicle,"Vehicle, side",2014-10-07T08:50:00,nearmiss,Driver did not shoulder check when driving directly into a turning lane.,,No injury,Commute,Y,Y,N,,,,,NL,Flat,S,Heading straight,1973.0,9.0,M,25,-123.36261929999999,48.42367942,2014-10-07 08:50:00,1412693400
149,Near collision with moving object or vehicle,Other,2012-07-05T06:15:00,nearmiss,"I don't like how this is worded. I did not ""nearly collide"" with a vehicle. The vehicle sharp turned from Island Hwy to Admirals Road approaching from behind me, put their right side vehicle tires onto the sidewalk and nearly ran ME over! Not me colliding with  it. Fix this report please.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Downhill,SE,Turning right,1977.0,,M,27,-123.4250021,48.45107985,2012-07-05 06:15:00,1341490500
150,Near collision with moving object or vehicle,"Vehicle, side",2014-10-08T08:05:00,nearmiss,"I was travelling along Humboldt when a jeep blasted out of a parkade, turning left. I braked and shouted, my back tire lifting and nearly flipping me over. She heard me shout, laughed, said sorry, and kept going. ",,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,"Quiet street, no bike facilities",FB,Flat,NW,Heading straight,1982.0,12.0,F,30,-123.36170200000001,48.42057152,2014-10-08 08:05:00,1412777100
151,Near collision with moving object or vehicle,Other,2014-10-06T08:05:00,nearmiss,"Bus passed me, giving lots of space at the front of the bike, but then drifted closer to me with the rear of the bus. Came within 6 inches of my handlebars.",,No injury,Commute,Y,Y,N,,No obstructions,Y,"Busy street, no bike facilities",Don't remember,Flat,S,Heading straight,1981.0,9.0,M,31,-123.33350659999999,48.44003462,2014-10-06 08:05:00,1412604300
152,Near collision with moving object or vehicle,"Vehicle, angle",2014-08-06T15:25:00,nearmiss,The safety changes in the area contributed to complacency.  It was just a real close pass for no reason.  ,,No injury,Social reason,,Y,N,Dry,No obstructions,N,Busy street bike lane,FB,Flat,N,Heading straight,1969.0,10.0,M,32,-123.38864209999998,48.53531313,2014-08-06 15:25:00,1407360300
153,Near collision with moving object or vehicle,"Vehicle, side",2015-06-17T15:20:00,nearmiss,The car did not see me and took a right onto Fort Street from Moss. I had to stop as they continued to zip around the corner. Near miss.,,No injury,Commute,Y,Y,N,,,N,Busy street bike lane,NL,Uphill,E,Heading straight,1985.0,4.0,M,1143,-123.3471107,48.42323443,2015-06-17 15:20:00,1434576000
154,Near collision with moving object or vehicle,"Vehicle, head on",2013-09-05T08:30:00,nearmiss,"I had the green light, heading straight down caledonia street.  The oncoming vehicle was turning left, and waited too far over in my lane.  It was clearly a case of the driver rushing or misjudging the speed of a bicycle.  The driver forced a left turn, if I didn't break, I would've hit the car.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",FB,Flat,W,Heading straight,1979.0,8.0,F,34,-123.3529043,48.43046773,2013-09-05 08:30:00,1378391400
155,Near collision with moving object or vehicle,"Vehicle, angle",2014-03-06T08:15:00,nearmiss,"me and car both waiting for a green, light goes green, he turns right with no blinker as I go straight. ",,No injury,Commute,,,,Dry,No obstructions,I don't know,"Busy street, no bike facilities",FB,Flat,E,Heading straight,,,,35,-123.3329648,48.46857508,2014-03-06 08:15:00,1394118900
156,Near collision with moving object or vehicle,"Vehicle, head on",2014-10-08T18:30:00,nearmiss,"We were about to cross the intersection but noticed that an approaching vehicle was travelling fast and did not seem ready to stop . Had we decided to enter the crosswalk, we would have been hit. But we decided to not enter the intersection until the surprised driver saw us and came to a full stop.",,No injury,Social reason,,,,Dry,Glare or reflection,N,Mixed use trail,B,Flat,E,Heading straight,,,,36,-123.39045520000002,48.45822381,2014-10-08 18:30:00,1412814600
157,Near collision with moving object or vehicle,"Vehicle, head on",2014-10-08T07:15:00,nearmiss,"At least once per week, I have a near miss with a vehicle in the Galloping a Goose trail and Mckenzie ave crosswalk, where the vehicle is turning right in the dedicated turn/merge lane heading westbound. Vehicles to not watch for cyclists or users of the crosswalk at this dangerous location. ",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Mixed use trail,FB,Flat,E,Heading straight,1981.0,11.0,M,38,-123.40478359999999,48.45995984,2014-10-08 07:15:00,1412774100
158,Near collision with moving object or vehicle,"Vehicle, side",2014-09-09T10:00:00,nearmiss,Person in car ignored or didn't see the light turn red and ran the light right in front of me.,,No injury,Commute,,,,Dry,No obstructions,N,Quiet street bike lane,F,Flat,E,Heading straight,,,,40,-123.3328199,48.46498261,2014-09-09 10:00:00,1410278400
159,Near collision with moving object or vehicle,"Vehicle, side",2014-09-11T16:10:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,43,-123.3510429,48.47195746,2014-09-11 16:10:00,1410473400
160,Near collision with moving object or vehicle,"Vehicle, head on",2014-06-17T08:15:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,44,-123.4706469,48.44113071,2014-06-17 08:15:00,1403014500
161,Near collision with moving object or vehicle,"Vehicle, side",2012-08-04T11:45:00,nearmiss,,,"Injury, no treatment",Social reason,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Uphill,E,Heading straight,1970.0,2.0,M,45,-123.3735037,48.4278052,2012-08-04 11:45:00,1344102300
162,Near collision with moving object or vehicle,"Vehicle, side",2014-10-09T08:35:00,nearmiss,,,No injury,Exercise or recreation,,,,,,,,,,,,,,,48,-123.36177169999999,48.43017942,2014-10-09 08:35:00,1412865300
163,Near collision with moving object or vehicle,"Vehicle, angle",2014-09-10T09:00:00,nearmiss,Moving into a designated bike/car sharing lane across the bridge when a car pushed past me trying to get by and onto the bridge. It came very close to my left side as there was oncoming traffic. ,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Uphill,E,Heading straight,1952.0,9.0,F,54,-123.37317649999999,48.42786571,2014-09-10 09:00:00,1410361200
164,Near collision with moving object or vehicle,"Vehicle, side",2014-09-16T17:20:00,nearmiss,"Heading towards the intersection at Bay street when a bright green taxi passed me so close I wobbled and almost fell off my bike. I'm used to riding in traffic, but he came VERY close and I wobbled and almost fell. I had to stop for a few minutes as I was pretty shaken up. ",,No injury,,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,N,Heading straight,1952.0,9.0,F,55,-123.38038619999999,48.43360351,2014-09-16 17:20:00,1410909600
165,Near collision with moving object or vehicle,"Vehicle, angle",2014-10-09T08:35:00,nearmiss,"Crossing through intersection [on Lochside Trail/road] congested with parents taking kids to nearby school.  Was partially cut-off by vehicle heading north and turning to west.  I had to dodge the car.   Drivers are terrible in that intersection, everyone is in a hurry in the morning. ",,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,Busy street bike lane,NL,Flat,S,Heading straight,1962.0,1.0,M,56,-123.3620077,48.50133661,2014-10-09 08:35:00,1412865300
166,Near collision with moving object or vehicle,"Vehicle, side",2014-10-08T07:05:00,nearmiss,Vehicle turned in intersection between slow moving traffic and crossed bike lane as I was cycling downhill. I had  to brake hard and swerve to avoid accident.,,No injury,Commute,Y,Y,N,Dry,View obstructed,N,Busy street bike lane,FB,Downhill,NE,Heading straight,1982.0,4.0,M,57,-123.46330400000001,48.45190529999999,2014-10-08 07:05:00,1412773500
167,Near collision with moving object or vehicle,"Vehicle, side",2014-09-26T16:30:00,nearmiss,"Van passed within one foot of me even though I was ""taking the lane"" and riding in the center. He also held his horn down for a long time. The lane is not wide enough to pass safely within the lane. Drivers must change lanes to pass in this area. ",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Uphill,NE,Heading straight,1991.0,5.0,M,59,-123.40008970000001,48.44804835,2014-09-26 16:30:00,1411770600
168,Near collision with moving object or vehicle,"Vehicle, angle",2006-05-18T15:25:00,nearmiss,"Both going south bound, the Driver just cut me off to turn right onto Haultain. He claimed he didn't see me, despite passing me just seconds earlier. ",,No injury,Personal business,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,S,Heading straight,1980.0,,M,64,-123.31687690000001,48.43641166,2006-05-18 15:25:00,1147987500
169,Near collision with moving object or vehicle,"Vehicle, side",2014-09-24T17:30:00,nearmiss,Vehicle failed to stop at Stop Sign / behind Stop Line.,,No injury,Commute,,,,Dry,,,Mixed use trail,FB,Uphill,,Heading straight,,,,65,-123.3471107,48.47753025,2014-09-24 17:30:00,1411601400
170,Near collision with moving object or vehicle,"Vehicle, angle",2014-10-02T07:45:00,nearmiss,"Car tries passing me as I'm riding, has to go into oncoming traffic, then to avoid a car in the other lane, honks at me, veers into me pushing me up against the curb.",,No injury,Commute,Y,Y,N,Wet,No obstructions,N,"Busy street, no bike facilities",NL,Flat,N,Heading straight,1991.0,3.0,M,66,-123.39992340000002,48.46542012,2014-10-02 07:45:00,1412257500
171,Near collision with moving object or vehicle,"Vehicle, angle",2014-01-23T08:30:00,nearmiss,"Driver looked my way, performed a rolling stop through stop sign and accelerated as I entered the intersection.  I swerved far right to avoid the collision, then the driver saw me and stopped in the middle of the intersection.  The two cyclists behind me nearly broadsided the van. Driver was on cell",,No injury,Commute,,,,,No obstructions,N,Mixed use trail,FB,Downhill,S,Heading straight,,,,67,-123.37725879999999,48.45382655,2014-01-23 08:30:00,1390491000
172,Near collision with moving object or vehicle,"Vehicle, side",2013-07-16T08:00:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,68,-123.3750969,48.44800565,2013-07-16 08:00:00,1373983200
173,Near collision with moving object or vehicle,"Vehicle, side",2013-06-10T07:45:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,69,-123.347218,48.47758715,2013-06-10 07:45:00,1370871900
174,Near collision with moving object or vehicle,"Vehicle, head on",2014-07-24T17:00:00,nearmiss,I was in bike lane and an idiot turning left almost smushed me.,,No injury,Commute,I don't know,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Downhill,W,Heading straight,1975.0,,,71,-123.375628,48.45865071,2014-07-24 17:00:00,1406242800
175,Near collision with moving object or vehicle,"Vehicle, angle",2014-10-09T07:10:00,nearmiss,"Vehicle heading south, turning onto quieter section of Henderson at junction with Foul Bay, ignored my oncoming presence and continued to glide through the ""turn"" lane to continue south on Henderson.  Came within a few feet of the vehicle.  The vehicle did not speed up or slow down, just kept coming",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,FB,Flat,N,Heading straight,1960.0,2.0,F,75,-123.31668379999999,48.45021169,2014-10-09 07:10:00,1412860200
176,Near collision with moving object or vehicle,"Vehicle, side",2014-10-09T14:00:00,nearmiss,Vehicle did not stop at stop sign and almost T-boned me,,No injury,Exercise or recreation,,,,,,,,,,,,,,,77,-123.31177,48.41656976,2014-10-09 14:00:00,1412884800
177,Near collision with moving object or vehicle,"Vehicle, side",2014-09-11T09:00:00,nearmiss,Cycling approximately 1m from curb past a 'cyclists may use full lane sign' a driver drove close enough to brush my jacket with his mirror. ,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,S,Heading straight,1981.0,3.0,M,78,-123.3535695,48.42572277,2014-09-11 09:00:00,1410447600
178,Near collision with moving object or vehicle,"Vehicle, side",2014-06-05T17:00:00,nearmiss,the driver of a van didn't look before they made a left turn. i arrived at the intersection before them ( I had the right of way) they cut me off as they made a left through the intersection and i avoided being hit by them (gender unknown gender),,No injury,Commute,,,,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,SE,Heading straight,,,,79,-123.3164048,48.46620621,2014-06-05 17:00:00,1402009200
179,Near collision with moving object or vehicle,"Vehicle, side",2014-10-07T10:10:00,nearmiss,Vehicle slowed at stop sign but did not come to full stop. Began to accelerate while looking in other direction as I approached intersection. Skidded to a stop before we could collide but came very close. ,,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,Y,"Quiet street, no bike facilities",NL,Downhill,N,Heading straight,1970.0,9.0,M,80,-123.3594275,48.414746799999996,2014-10-07 10:10:00,1412698200
180,Near collision with moving object or vehicle,"Vehicle, angle",2014-08-28T16:30:00,nearmiss,"Cycling home from work,  a truck stopped then started in the right hand turn from MacKenzie onto the highway.  I missed hitting the truck by millimeters.  The driver yelled ""Sorry"" as he drove off.",,No injury,Commute,Y,Y,N,Dry,No obstructions,,,,,,Heading straight,1969.0,1.0,F,81,-123.4046978,48.45992427,2014-08-28 16:30:00,1409265000
