i_type,incident_with,date,p_type,details,incident_effect,injury,trip_purpose,regular_cyclist,helemt,intoxicated,road_conditions,sightlines,card_on_roadside,riding_on,bike_lights,terrain,direction,turning,age,birthmonth,sex,pk,longitude,latitude
Near collision with moving object or vehicle,"Vehicle, side",2015-10-27T12:15:00,nearmiss,"Older driver turned into Fairway parking lot, crossed bike lane directly into me.  He was moving very slowly so I was not knocked off my bike or injured.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Uphill,E,Heading straight,1991,11,F,1938,-123.3319777,48.460931
Near collision with moving object or vehicle,"Vehicle, side",2015-11-05T11:50:00,nearmiss,"Headed straight across View on Cook. Truck crossing Cook eastbound, headed through gap in cars in left lane, saw me and accelerated as I was abeam of his bumper. Had to pedal quickly to avoid getting hit.",,No injury,During work,Y,Y,N,Wet,Obstruction on road,N,"Busy street, no bike facilities",NL,Flat,N,Heading straight,1982,8,M,1956,-123.3537912,48.42419086
Near collision with moving object or vehicle,"Vehicle, side",2015-05-27T12:35:00,nearmiss,The road plus bike lane were not wide enough for my bike and a semi.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,E,Heading straight,1975,4,F,1004,-123.3612084,48.47047436
Near collision with moving object or vehicle,"Vehicle, angle",2015-05-27T21:00:00,nearmiss,"Car turned from right southbound lane, to right turn lane for saanich rd and crossed bike path without yielding.  Driver changed mind from going straight to performing a right turn.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Quiet street bike lane,NL,Flat,S,Heading straight,,,,1041,-123.372578,48.455577
Near collision with moving object or vehicle,Another cyclist,2015-06-11T16:05:00,nearmiss,older age cyclist tried to avoid me by turning into me. She stopped and i swerved.,,No injury,Commute,,,,Dry,No obstructions,N,Mixed use trail,NL,Flat,W,Heading straight,,,,1103,-123.3132935,48.46363804
Near collision with moving object or vehicle,"Vehicle, side",2012-07-18T08:00:00,nearmiss,18 wheeler passed so close it pushed me up onto the sidewalk - brushed against elbow. ,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Downhill,NE,Heading straight,1974,8,F,1398,-123.3925152,48.45547735
Near collision with moving object or vehicle,Another cyclist,2015-08-04T16:50:00,nearmiss,Blind corner thanks to big clump of ornamental grass. Trim the grass please!,,No injury,Commute,Y,,,,,,,,,,,,,,1480,-123.3131325,48.46212802
Near collision with moving object or vehicle,"Vehicle, side",2014-06-26T16:35:00,nearmiss,"Full size Transit bus nearly ran me off the road.  I was westbound approaching the Blenkinsop intersection  in the bike lane with centre point of the bus immediately to my left travelling at same speed, about 25kph.   Bus drifted across half the bike lane!",,No injury,Commute,,,,Dry,No obstructions,N,Busy street bike lane,,,W,Heading straight,,,,1596,-123.3507371,48.47208194
Near collision with moving object or vehicle,"Vehicle, side",2015-09-14T08:00:00,nearmiss,cars consistently drift into the bike lane at the top of the hill. Potentially road line painting is encouraging this (top of hill so restricted visibility and also bend),,No injury,Commute,Y,Y,N,,,,,,,,,,,,1619,-123.3463168,48.44839705
Near collision with moving object or vehicle,"Vehicle, angle",2015-09-14T17:25:00,nearmiss,"Motorbike turned into camosun without looking, luckily I have cat like reflexes and barely dodged it. ",,No injury,Commute,Y,Y,N,,,,,,,,,,,,1635,-123.3207715,48.44781706
Near collision with moving object or vehicle,"Vehicle, angle",2015-10-14T09:25:00,nearmiss,I was turning left on a left-turn green. car from opposite direction turning right failed to give me right of way.,,No injury,Commute,Y,N,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,SW,Turning left,1983,2,M,1778,-123.319425,48.46853596
Near collision with moving object or vehicle,"Vehicle, side",2015-11-01T16:05:00,nearmiss,I was biking to Fujiya and this idiotic driver decided to overtake me without giving me some space (1 metre) so it passed right next to me. I swear there are more impatient drivers these days.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,S,Heading straight,1994,2,M,1914,-123.3332384,48.45987802
Near collision with moving object or vehicle,"Vehicle, side",2015-05-09T11:25:00,nearmiss,"Group of cyclists failed to notice eastbound yield sign on left side of trail.  Southbound motorist noticed approaching cyclists and had to stop quickly to avoid a collision.  No crosswalk signs on Harriet, only paint markings.  Yield sign for southbound traffic is at the far side of markings. ",,No injury,Exercise or recreation,,,,Dry,View obstructed,N,Mixed use trail,NL,Flat,E,Heading straight,,,,931,-123.3807456,48.45616042
Near collision with moving object or vehicle,"Vehicle, side",2015-05-27T12:05:00,nearmiss,,,No injury,Personal business,,,,,,,,,,,,,,,1005,-123.3593845,48.42658067
Near collision with moving object or vehicle,"Vehicle, rear end",2015-06-12T09:10:00,nearmiss,"Headed straight through intersection, had to dodge right as van barrelled up behind me.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,W,Heading straight,1982,8,M,1104,-123.3593953,48.42755602
Near collision with moving object or vehicle,"Vehicle, side",2015-06-19T14:05:00,nearmiss,,,No injury,Exercise or recreation,Y,Y,N,Dry,View obstructed,Y,"Busy street, no bike facilities",,Flat,S,Heading straight,,,F,1374,-123.37713,48.46050768
Near collision with moving object or vehicle,Pedestrian,2015-07-22T16:00:00,nearmiss,Pedestrians were walking along the sidewalk and suddenly turned and crossed (at a crosswalk)  without looking. I had to brake hard and nearly piled into them and went over the bars. I was upset with them and I expressed my displeasure.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Downhill,E,Heading straight,1987,9,M,1399,-123.3638587,48.41783888
Near collision with moving object or vehicle,"Vehicle, side",2015-09-09T08:00:00,nearmiss,Two close passes this morning within 1 foot. I ride this every day and often get close passed here regardless of lane position. ,,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",FB,Flat,E,Heading straight,1991,5,M,1574,-123.3697218,48.42774825
Near collision with moving object or vehicle,Pedestrian,2015-06-10T16:45:00,nearmiss,"A toddler suddenly darted out in front of me from a side trail increased by bushes.  I managed to swerve to avoid him, but if I had been any closer I would not have been able to avoid a collision.",,No injury,Commute,,,,Dry,View obstructed,N,Mixed use trail,NL,Flat,SW,Heading straight,,,,1597,-123.3749306,48.45927682
Near collision with moving object or vehicle,"Vehicle, side",2015-09-10T16:30:00,nearmiss,cars drift into bike lane at crest of hill at bend (both directions),,No injury,Commute,Y,Y,,Dry,No obstructions,N,Busy street bike lane,B,Uphill,E,Heading straight,,,,1620,-123.3478242,48.44792025
Near collision with moving object or vehicle,"Vehicle, side",2015-10-28T08:30:00,nearmiss,"Vehicle turning right from Rebecca St. onto Pandora Ave failed to yield, causing me to nearly collide with the side of the vehicle. ",,No injury,Commute,Y,Y,N,Wet,No obstructions,Y,Busy street bike lane,FB,Downhill,W,Heading straight,1979,5,M,1894,-123.3517939,48.42709327
Near collision with moving object or vehicle,"Vehicle, angle",2015-11-09T09:00:00,nearmiss,"Going west along Yates 2 lanes turn right so when I try to go directly through the intersection I have to merge into the middle of the road through busy traffic. Today was another close call - it is bit of a sketchy section of road to go down, but it still the most practical way to get downtown.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,W,Heading straight,1985,4,M,1963,-123.3640838,48.42623538
Near collision with moving object or vehicle,"Vehicle, head on",2015-03-19T16:05:00,nearmiss,"I was nearly hit head-on by car. Driver didn't stop at stop sign at bottom of Wende, as he cut corner turning left southbound onto Braefoot at ~60km/h in the oncoming lane (the lane I was in). Evasive action by both parties narrowly avoided collision. Reported incident to police w/ license plate #.",,No injury,Commute,Y,Y,N,Wet,No obstructions,N,"Quiet street, no bike facilities",FB,Downhill,N,Heading straight,1978,11,M,932,-123.3454478,48.46629158
Near collision with moving object or vehicle,Another cyclist,2015-06-17T06:20:00,nearmiss,"As I started to make a left turn onto Cook from Caledonia from the left turn lane, another cyclist decided to turn left beside me with no warning and cut me off on the right.   ",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",NL,Don't remember,W,Turning left,1969,6,F,1134,-123.3528614,48.4304535
Near collision with moving object or vehicle,"Vehicle, head on",2015-07-20T17:20:00,nearmiss,car speeding uphill turned left almost into me,,No injury,Commute,,,,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Downhill,S,Heading straight,,,,1377,-123.3314037,48.4629195
Near collision with moving object or vehicle,"Vehicle, side",2015-07-22T11:55:00,nearmiss,"Driver of large yellow Wilson's bus was stopped on side street, looked at me and pulled straight onto McNeil (he had a stop sign, I didn't). I had to brake and pull behind him.",,No injury,Social reason,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Downhill,E,Heading straight,1982,8,M,1402,-123.3159542,48.42030094
Near collision with moving object or vehicle,Another cyclist,2015-09-08T17:15:00,nearmiss,Nearly collided head on with a cyclist who had cut a blind corner at~40kph(!) so was unexpectedly on my side of the trail. ,,No injury,Commute,,,,Dry,View obstructed,N,Mixed use trail,NL,Uphill,SW,Heading straight,,,,1598,-123.4575909,48.45963256
Near collision with moving object or vehicle,"Vehicle, side",2015-09-09T16:15:00,nearmiss,bike lane painting at finlayson and douglas intersection does not exist so cars dont respect bike lane. almost hit LOTS here,,No injury,Commute,,,,,,,,,,,Heading straight,,,,1621,-123.3706498,48.44503089
Near collision with moving object or vehicle,"Vehicle, side",2015-09-21T17:20:00,nearmiss,Driver honked at me because I was taking the lane and proceeded to speed up and pass very closely (less than 2 ft away).,,No injury,,,,,,,Y,,,,,,,,,1673,-123.3538753,48.40719432
Near collision with moving object or vehicle,"Vehicle, angle",2015-10-22T17:10:00,nearmiss,Idiot truck turned right without signalling or checking to see if there was a bike in the bike lane,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Downhill,E,Heading straight,1981,5,M,1833,-123.3708,48.44518746
Near collision with moving object or vehicle,"Vehicle, side",2015-02-16T13:35:00,nearmiss,,,No injury,Social reason,,,,,,,,,,,,,,,420,-123.3627748,48.42250819
Near collision with stationary object or vehicle,"Vehicle, rear end",2015-11-06T17:00:00,nearmiss,City and private buses (wilsons) park along Fort street and are often blocking most of the bike lane. I am constantly merging out into traffic to avoid them here. ,,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,Busy street bike lane,FB,Uphill,E,Heading straight,1986,1,M,1964,-123.3534139,48.42331275
Near collision with moving object or vehicle,"Vehicle, angle",2015-05-28T16:45:00,nearmiss,A vehicle in the southbound lane pulled out into the right turn lane as I was signalling and taking the lane. They misjudged my speed and I had to brake hard. Southbound drivers often race cyclists to cut ahead at the right turn lane. ,,No injury,Commute,,,,,,,,FB,,S,Turning right,,,,1044,-123.3224559,48.43226522
Near collision with moving object or vehicle,"Vehicle, angle",2015-06-09T08:00:00,nearmiss,"Couldn't specify ""Crosswalk"" as a location but I was exiting the Lochside Trail and merging onto McKenzie heading East. There's no bike lane along McKenzie on the west side so I used the crosswalk to cross over Borden but a car was turning left and would have hit me had I not stopped midway across. ",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Don't remember,NL,Flat,E,Heading straight,1978,4,F,1083,-123.3612084,48.47042813
Near collision with moving object or vehicle,"Vehicle, angle",2015-05-30T12:00:00,nearmiss,I was in the left hand turn lane. Light had just turned yellow. Luckily I was just making the go/no-go decision on the light when a truck in the middle lane suddenly swerved into my lane and took a left turn. I was able to break fast enough to not rear end it.,,No injury,Personal business,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,N,Turning left,1981,,M,1212,-123.353709,48.42464415
Near collision with moving object or vehicle,"Vehicle, side",2015-07-15T15:45:00,nearmiss,"Travelling west on Haultain, turning left onto Scott St. Car was stationary at two-way stop on Scott St (stop signs on Scott, none on Haultain). Car moved out of stop sign onto Haultain as I was passing in front of it. Middle-aged male driver shouted that I should have stopped.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",NL,Flat,W,Turning left,1980,9,M,1353,-123.3349872,48.43611982
Near collision with moving object or vehicle,Another cyclist,2015-07-23T10:10:00,nearmiss,Went to pass a slower moving cyclist on their right. Other cyclist failed to shoulder check or signal that the were turning before cutting me off. Narrowly missed.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Mixed use trail,NL,Flat,E,Heading straight,1990,6,M,1403,-123.3203584,48.46349931
Near collision with moving object or vehicle,"Vehicle, side",2015-11-02T14:20:00,nearmiss,Cars were backed up (not moving) but the bike lane was clear so I was moving well heading west. A truck heading east decided to turn left through an opening in the line of cars. Apparently the driver didn't see me in the bike lane and I had to swerve to avoid getting taken out. Almost smooshed!,,No injury,Commute,Y,Y,N,Dry,View obstructed,N,Busy street bike lane,NL,Flat,W,Heading straight,1978,4,F,1927,-123.328743,48.46868178
Near collision with moving object or vehicle,"Vehicle, side",2015-05-07T08:40:00,nearmiss,,,No injury,Personal business,,,,,,,,,,,,,,,1045,-123.3759928,48.44251146
Near collision with moving object or vehicle,"Vehicle, angle",2015-05-30T12:00:00,nearmiss,I was in the left hand turn lane. Light had just turned yellow. Luckily I was just making the go/no-go decision on the light when a truck in the middle lane suddenly swerved into my lane and took a left turn. I was able to break fast enough to not rear end it.,,No injury,Personal business,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,N,Turning left,1981,,M,1213,-123.353709,48.42464415
Near collision with moving object or vehicle,"Vehicle, angle",2015-08-17T12:30:00,nearmiss,"I was southbound, 1 northbound vehicle was waiting to turn left - waiting for me and some pedestrians to clear the intersection.A second northbound vehicle came out and around the first to make the left turn, nearly hitting me and the pedestrians.  A cloud of marijuana smoke trailed from his car..",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",NL,Flat,S,Heading straight,1986,12,M,1549,-123.3565199,48.42542019
Near collision with moving object or vehicle,"Vehicle, side",2015-09-02T07:15:00,nearmiss,Driver stopped in the bicycle path instead of at the stop sign.  Almost took out two people on bicycles and proceeded to curse at the bicyclists.,,No injury,Commute,Y,Y,N,Dry,View obstructed,N,Cycle track,NL,Flat,E,Heading straight,1967,2,M,1603,-123.4137046,48.43756121
Near collision with moving object or vehicle,"Vehicle, side",2015-10-02T16:20:00,nearmiss,Attempting to cross the street at a marked pedestrian crossing when a vehicle ran a red light.,,No injury,Commute,Y,Y,N,Dry,,N,"Busy street, no bike facilities",FB,Flat,S,Heading straight,1956,3,M,1741,-123.3616859,48.46642674
Near collision with moving object or vehicle,"Vehicle, side",2015-10-29T09:20:00,nearmiss,Travelling north on shelbourne  when driver passed within inches of my handlebars.  No bike facilities here make this a common issue and this isn't the first time it's happened.  Vehicles rushed and narrow driving lanes.,,No injury,Commute,N,Y,N,Wet,No obstructions,N,"Busy street, no bike facilities",NL,Flat,N,Heading straight,1988,8,M,1904,-123.3330506,48.45349923
Near collision with moving object or vehicle,"Vehicle, side",2015-11-03T11:25:00,nearmiss,Vehicle passed close enough that I could touch it. Driver wasn't concerned when confronted.,,No injury,During work,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Flat,S,Heading straight,1982,8,M,1928,-123.3531332,48.42792148
Near collision with moving object or vehicle,"Vehicle, side",2015-05-14T08:30:00,nearmiss,Road rage incident: observed male driver of black Acura come within inches of hitting a cyclist where he should have allowed the bike to safely merge into traffic just before the bridge. This bridge entrance is dangerous enough!,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Uphill,E,Heading straight,1972,,F,936,-123.3731426,48.42791781
Near collision with moving object or vehicle,"Vehicle, angle",2014-09-16T17:30:00,nearmiss,Bad driver is bad at driving. Bad driver veered into bike lane and was close to hitting me. Bad driver should drive better.,,No injury,Commute,Y,Y,N,Dry,No obstructions,I don't know,Busy street bike lane,NL,Uphill,W,Heading straight,1990,6,M,3,-123.3476187,48.44804927
Near collision with moving object or vehicle,"Vehicle, side",2015-05-21T07:00:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,961,-123.4048319,48.45992783
Near collision with moving object or vehicle,"Vehicle, side",2015-05-27T16:10:00,nearmiss,Driver of a small car failed to yield right of way to me while I was in the traffic circle. Driver was surprised to see me almost in their driver window.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",NL,Flat,NW,Heading straight,1969,,M,1027,-123.3075857,48.46716658
Near collision with moving object or vehicle,"Vehicle, side",2015-06-01T09:00:00,nearmiss,I was making left turn onto Fairfield off Moss. A car driven by older women passed me on the left in the intersection while I was making a left turn. As I was making the turn I had my hand out indicating a left turn.,,No injury,Commute,Y,N,N,Dry,No obstructions,I don't know,"Busy street, no bike facilities",NL,Uphill,S,Turning left,1973,,F,1047,-123.3486728,48.41522943
Near collision with moving object or vehicle,"Vehicle, side",2014-08-07T18:30:00,nearmiss,Jerk van almost merged into me,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Downhill,W,Heading straight,1990,6,M,1,-123.3251526,48.4461705
Near collision with moving object or vehicle,"Vehicle, side",2014-09-03T10:25:00,nearmiss,Car turning right onto Blenkinsop nearly cut me off as I was travelling straight in bike lane.  Driver only stopped turning because I yelled. A large cube van behind the car may have obstructed both of our views.,,No injury,Social reason,,,,Dry,No obstructions,N,Busy street bike lane,NL,Flat,,,,,,2,-123.3510214,48.47201081
Near collision with moving object or vehicle,"Vehicle, side",2014-08-14T10:25:00,nearmiss,I had a near miss on Dean Ave at one of the roundabouts - probably around Carnarvon. It happened in August when the guy in his truck didn't yield and I almost smoked the side of his car but managed to brake in time and just about nicked his rear bumper. No contact occurred. It was daylight.,,No injury,Commute,Y,Y,N,Dry,No obstructions,I don't know,"Quiet street, no bike facilities",NL,Flat,N,Heading straight,1987,1,F,6,-123.324666,48.44034779
Near collision with stationary object or vehicle,Pedestrian,2013-12-10T17:30:00,nearmiss,Extremely bright light from oncoming cyclists blinded me. I nearly missed a collision with a pedestrian that I couldn't see because of the oncoming cyclist's light.,,No injury,Commute,Y,Y,N,Wet,Glare or reflection,N,Mixed use trail,FB,Flat,SW,Heading straight,1983,7,M,8,-123.3693838,48.46227209
Near collision with moving object or vehicle,"Vehicle, angle",2014-10-06T09:30:00,nearmiss,"I hate biking this section of road every day. It's one of the worst parts of my 4.3 km commute to work.  It's uphill and just after an intersection, the road has a big dip for a storm grate and you don't want to bike through it! Cars come so close and fast to get through the light.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Uphill,E,Heading straight,1979,12,F,9,-123.3259535,48.44622651
Near collision with moving object or vehicle,"Vehicle, angle",2014-10-04T21:45:00,nearmiss,"clearly visible, bright helmet, rear light, and under street lamp at Market On Yates",,No injury,Social reason,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",B,Flat,N,Heading straight,1991,3,M,10,-123.3593309,48.42532052
Near collision with moving object or vehicle,"Vehicle, rear end",2014-09-29T08:55:00,nearmiss,"This is a narrowing of the road where a bike lane abruptly ends, and cars go by so close and so quickly. ",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,E,Heading straight,1979,,F,11,-123.3324981,48.44601301
Near collision with moving object or vehicle,"Vehicle, side",2014-09-23T10:00:00,nearmiss,"I was trying to change lanes from the right-hand side of the right lane to the centre of the left (turning) lane, to turn off Landsdowne Road and onto (north) on Foul Bay Road.  Cars won't yield and it's hard to check blindspot without swerving a little, such a narrow stretch of road.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,E,Turning left,1979,,F,12,-123.322944,48.44614467
Near collision with moving object or vehicle,"Vehicle, side",2013-02-11T07:30:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,13,-123.3221769,48.43214064
Near collision with moving object or vehicle,"Vehicle, side",2013-07-11T16:25:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,14,-123.3219087,48.44283174
Near collision with moving object or vehicle,"Vehicle, angle",2014-10-03T08:10:00,nearmiss,Traffic congestion on Tyee rd lead to people turning off onto Wilson st. Was sideswiped by a vehicle turning right onto Wilson but was able to avoid a collision,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,W,Heading straight,1978,,M,16,-123.3787551,48.43124826
Near collision with moving object or vehicle,"Vehicle, side",2014-10-02T15:45:00,nearmiss,Heading straight down road at speed vehicle passes and turns in front,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",B,Downhill,W,Heading straight,,,,17,-123.3238292,48.46360247
Near collision with moving object or vehicle,"Vehicle, side",2014-10-01T17:30:00,nearmiss,,,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,E,Heading straight,1987,8,M,18,-123.3313072,48.41127159
Near collision with moving object or vehicle,"Vehicle, angle",2013-11-30T11:05:00,nearmiss,"Going straight through an intersection, person in oncoming traffic turning left started turning and I had to stop rapidly to avoid collision.",,No injury,Social reason,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,S,Heading straight,1991,2,F,20,-123.3522552,48.43497023
Near collision with moving object or vehicle,"Vehicle, side",2014-10-02T08:30:00,nearmiss,I was going stright in the bike lane and a car passed me just to turn right in front of me. I had to swerve so as not to drive into the side of her car. Motorists are not paying attention to the fact that bikes can go straight in that bike lane. There needs to be signage.,,No injury,Exercise or recreation,,,,Dry,No obstructions,N,Busy street bike lane,NL,Uphill,E,Heading straight,,,,21,-123.3186793,48.4685075
Near collision with moving object or vehicle,"Vehicle, side",2014-06-14T15:25:00,nearmiss,A southbound car started from a stop at the red light at the pedestrian crossing and accelerated through the light.,,No injury,Exercise or recreation,,,,,,,,,,,,,,,22,-123.3629572,48.46803445
Near collision with moving object or vehicle,"Vehicle, head on",2014-07-24T10:35:00,nearmiss,Tractor trailer threatened to run me over because he was unhappy that he had to wait for me to cross on the pedestrian/bicycle crossing.,,No injury,Commute,Y,Y,N,,,,,,,,,1960,,M,23,-123.4049177,48.45991004
Near collision with moving object or vehicle,Another cyclist,2013-05-14T07:50:00,nearmiss,Coming into the intersection of the two trails another cyclist was proceeding north on the paved trail at a very high speed and swerved just in time and missed me and then continued north across the trestle bridge.  Cyclists need to proceed slowly when approaching from the north.,,No injury,Commute,,,,Dry,View obstructed,N,Mixed use trail,NL,Downhill,E,Heading straight,,,,24,-123.383317,48.43760036
Near collision with moving object or vehicle,"Vehicle, side",2014-10-07T08:50:00,nearmiss,Driver did not shoulder check when driving directly into a turning lane.,,No injury,Commute,Y,Y,N,,,,,NL,Flat,S,Heading straight,1973,9,M,25,-123.3626193,48.42367942
Near collision with moving object or vehicle,Other,2012-07-05T06:15:00,nearmiss,"I don't like how this is worded. I did not ""nearly collide"" with a vehicle. The vehicle sharp turned from Island Hwy to Admirals Road approaching from behind me, put their right side vehicle tires onto the sidewalk and nearly ran ME over! Not me colliding with  it. Fix this report please.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Downhill,SE,Turning right,1977,,M,27,-123.4250021,48.45107985
Near collision with moving object or vehicle,"Vehicle, side",2014-10-08T08:05:00,nearmiss,"I was travelling along Humboldt when a jeep blasted out of a parkade, turning left. I braked and shouted, my back tire lifting and nearly flipping me over. She heard me shout, laughed, said sorry, and kept going. ",,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,"Quiet street, no bike facilities",FB,Flat,NW,Heading straight,1982,12,F,30,-123.361702,48.42057152
Near collision with moving object or vehicle,Other,2014-10-06T08:05:00,nearmiss,"Bus passed me, giving lots of space at the front of the bike, but then drifted closer to me with the rear of the bus. Came within 6 inches of my handlebars.",,No injury,Commute,Y,Y,N,,No obstructions,Y,"Busy street, no bike facilities",Don't remember,Flat,S,Heading straight,1981,9,M,31,-123.3335066,48.44003462
Near collision with moving object or vehicle,"Vehicle, angle",2014-08-06T15:25:00,nearmiss,The safety changes in the area contributed to complacency.  It was just a real close pass for no reason.  ,,No injury,Social reason,,Y,N,Dry,No obstructions,N,Busy street bike lane,FB,Flat,N,Heading straight,1969,10,M,32,-123.3886421,48.53531313
Near collision with moving object or vehicle,"Vehicle, side",2015-06-17T15:20:00,nearmiss,The car did not see me and took a right onto Fort Street from Moss. I had to stop as they continued to zip around the corner. Near miss.,,No injury,Commute,Y,Y,N,,,N,Busy street bike lane,NL,Uphill,E,Heading straight,1985,4,M,1143,-123.3471107,48.42323443
Near collision with moving object or vehicle,"Vehicle, head on",2013-09-05T08:30:00,nearmiss,"I had the green light, heading straight down caledonia street.  The oncoming vehicle was turning left, and waited too far over in my lane.  It was clearly a case of the driver rushing or misjudging the speed of a bicycle.  The driver forced a left turn, if I didn't break, I would've hit the car.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",FB,Flat,W,Heading straight,1979,8,F,34,-123.3529043,48.43046773
Near collision with moving object or vehicle,"Vehicle, angle",2014-03-06T08:15:00,nearmiss,"me and car both waiting for a green, light goes green, he turns right with no blinker as I go straight. ",,No injury,Commute,,,,Dry,No obstructions,I don't know,"Busy street, no bike facilities",FB,Flat,E,Heading straight,,,,35,-123.3329648,48.46857508
Near collision with moving object or vehicle,"Vehicle, head on",2014-10-08T18:30:00,nearmiss,"We were about to cross the intersection but noticed that an approaching vehicle was travelling fast and did not seem ready to stop . Had we decided to enter the crosswalk, we would have been hit. But we decided to not enter the intersection until the surprised driver saw us and came to a full stop.",,No injury,Social reason,,,,Dry,Glare or reflection,N,Mixed use trail,B,Flat,E,Heading straight,,,,36,-123.3904552,48.45822381
Near collision with moving object or vehicle,"Vehicle, head on",2014-10-08T07:15:00,nearmiss,"At least once per week, I have a near miss with a vehicle in the Galloping a Goose trail and Mckenzie ave crosswalk, where the vehicle is turning right in the dedicated turn/merge lane heading westbound. Vehicles to not watch for cyclists or users of the crosswalk at this dangerous location. ",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Mixed use trail,FB,Flat,E,Heading straight,1981,11,M,38,-123.4047836,48.45995984
Near collision with moving object or vehicle,"Vehicle, side",2014-09-09T10:00:00,nearmiss,Person in car ignored or didn't see the light turn red and ran the light right in front of me.,,No injury,Commute,,,,Dry,No obstructions,N,Quiet street bike lane,F,Flat,E,Heading straight,,,,40,-123.3328199,48.46498261
Near collision with moving object or vehicle,"Vehicle, side",2014-09-11T16:10:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,43,-123.3510429,48.47195746
Near collision with moving object or vehicle,"Vehicle, head on",2014-06-17T08:15:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,44,-123.4706469,48.44113071
Near collision with moving object or vehicle,"Vehicle, side",2012-08-04T11:45:00,nearmiss,,,"Injury, no treatment",Social reason,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Uphill,E,Heading straight,1970,2,M,45,-123.3735037,48.4278052
Near collision with moving object or vehicle,"Vehicle, side",2014-10-09T08:35:00,nearmiss,,,No injury,Exercise or recreation,,,,,,,,,,,,,,,48,-123.3617717,48.43017942
Near collision with moving object or vehicle,"Vehicle, angle",2014-09-10T09:00:00,nearmiss,Moving into a designated bike/car sharing lane across the bridge when a car pushed past me trying to get by and onto the bridge. It came very close to my left side as there was oncoming traffic. ,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Uphill,E,Heading straight,1952,9,F,54,-123.3731765,48.42786571
Near collision with moving object or vehicle,"Vehicle, side",2014-09-16T17:20:00,nearmiss,"Heading towards the intersection at Bay street when a bright green taxi passed me so close I wobbled and almost fell off my bike. I'm used to riding in traffic, but he came VERY close and I wobbled and almost fell. I had to stop for a few minutes as I was pretty shaken up. ",,No injury,,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,N,Heading straight,1952,9,F,55,-123.3803862,48.43360351
